2017-12-09 03:04:07,938 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50810 ]
2017-12-09 03:04:07,939 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50810 ] 
2017-12-09 03:04:07,939 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50810 ]
2017-12-09 03:04:08,914 [conlistener.py  examinePacket  Thread-4 ] [INFO ]  Request ---> Type:1 , Field1:mert , Field2:1234    [ 192.168.1.43 , 50202 ] 
2017-12-09 03:04:08,915 [conlistener.py  printLog  Thread-4 ] [INFO ]  Response ---> Type:1 Status:21 Message: succesfullogin    [ succesfullogin , 192.168.1.43 ]
2017-12-09 03:04:08,920 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:mert ,Message:HELLO    [ 192.168.1.43 , 52714 ] 
2017-12-09 03:04:08,921 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.43 , 52714 ]
2017-12-09 03:04:08,921 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:mert ,Message:HELLO    [ 192.168.1.43 , 52714 ] 
2017-12-09 03:04:08,921 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.43 , 52714 ]
2017-12-09 03:04:08,932 [conlistener.py  examinePacket  Thread-4 ] [INFO ]  Request ---> Type:4 , Field1:mert , Field2:All    [ 192.168.1.43 , 50202 ] 
2017-12-09 03:04:08,932 [conlistener.py  printLog  Thread-4 ] [INFO ]  Response ---> Type:4 Status:24 Message: online list sended    [ 192.168.1.43 , 50202 ]
2017-12-09 03:04:08,939 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50811 ] 
2017-12-09 03:04:08,939 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50811 ]
2017-12-09 03:04:08,939 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50811 ] 
2017-12-09 03:04:08,939 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50811 ]
2017-12-09 03:04:09,934 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:mert ,Message:HELLO    [ 192.168.1.43 , 52715 ] 
2017-12-09 03:04:09,934 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.43 , 52715 ]
2017-12-09 03:04:09,935 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:mert ,Message:HELLO    [ 192.168.1.43 , 52715 ] 
2017-12-09 03:04:09,935 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.43 , 52715 ]
2017-12-09 03:04:09,939 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50812 ] 
2017-12-09 03:04:09,939 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50812 ]
2017-12-09 03:04:09,940 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50812 ] 
2017-12-09 03:04:09,940 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50812 ]
2017-12-09 03:04:10,940 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50813 ] 
2017-12-09 03:04:10,940 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50813 ]
2017-12-09 03:04:10,940 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50813 ] 
2017-12-09 03:04:10,940 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50813 ]
2017-12-09 03:04:10,952 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:mert ,Message:HELLO    [ 192.168.1.43 , 52716 ] 
2017-12-09 03:04:10,953 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.43 , 52716 ]
2017-12-09 03:04:10,953 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:mert ,Message:HELLO    [ 192.168.1.43 , 52716 ] 
2017-12-09 03:04:10,953 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.43 , 52716 ]
2017-12-09 03:04:11,940 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50814 ] 
2017-12-09 03:04:11,941 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50814 ]
2017-12-09 03:04:11,941 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50814 ] 
2017-12-09 03:04:11,941 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50814 ]
2017-12-09 03:04:11,968 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:mert ,Message:HELLO    [ 192.168.1.43 , 52717 ] 
2017-12-09 03:04:11,968 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.43 , 52717 ]
2017-12-09 03:04:11,968 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:mert ,Message:HELLO    [ 192.168.1.43 , 52717 ] 
2017-12-09 03:04:11,968 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.43 , 52717 ]
2017-12-09 03:04:12,941 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50815 ] 
2017-12-09 03:04:12,941 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50815 ]
2017-12-09 03:04:12,941 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50815 ] 
2017-12-09 03:04:12,941 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50815 ]
2017-12-09 03:04:12,983 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:mert ,Message:HELLO    [ 192.168.1.43 , 52718 ] 
2017-12-09 03:04:12,984 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.43 , 52718 ]
